suite,case,ORDER,READ_SIZE,PROG_SIZE,N,COMMIT,BLOCK_SIZE,bench_readed,bench_proged,bench_erased
bench_rbyd,bench_rbyd_id_commit,0,1,1,897,1,1048576,234737,86818,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,913,1,1048576,238977,88563,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,929,1,1048576,243158,90355,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,865,1,1048576,226234,83210,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,937,1,1048576,245236,91256,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,985,1,1048576,257686,96827,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1073,1,1048576,280914,106735,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,953,1,1048576,249385,93101,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1017,1,1048576,265982,100658,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1001,1,1048576,261835,98729,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1065,1,1048576,278762,105889,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,945,1,1048576,247310,92174,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,993,1,1048576,259759,97786,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1049,1,1048576,274451,104214,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1009,1,1048576,263908,99688,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,961,1,1048576,251458,94060,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1033,1,1048576,270132,102593,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1081,1,1048576,283067,107590,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1113,1,1048576,291679,111025,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1169,1,1048576,306709,117216,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1097,1,1048576,287374,109324,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1025,1,1048576,268054,101664,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1161,1,1048576,304581,116362,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1041,1,1048576,272293,103399,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1145,1,1048576,300281,114561,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1089,1,1048576,285216,108476,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1057,1,1048576,276603,105060,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1129,1,1048576,295982,112780,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1177,1,1048576,308838,118079,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1105,1,1048576,289526,110170,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1209,1,1048576,317149,121741,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1265,1,1048576,331672,128328,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1121,1,1048576,293828,111911,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1257,1,1048576,329599,127369,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1241,1,1048576,325450,125467,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1193,1,1048576,313000,119896,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1185,1,1048576,310922,118995,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1137,1,1048576,298131,113666,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1225,1,1048576,321301,123622,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1273,1,1048576,333746,129298,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1153,1,1048576,302427,115487,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1201,1,1048576,315074,120814,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1305,1,1048576,342081,132991,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1361,1,1048576,356720,139398,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1217,1,1048576,319222,122700,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1353,1,1048576,354630,138488,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1281,1,1048576,335818,130304,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1337,1,1048576,350446,136623,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1289,1,1048576,337896,131242,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1233,1,1048576,323375,124540,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1321,1,1048576,346265,134794,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1369,1,1048576,358811,140317,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1297,1,1048576,339988,132112,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1457,1,1048576,381525,150832,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1249,1,1048576,327523,126426,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1401,1,1048576,367171,144116,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1313,1,1048576,344171,133901,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1377,1,1048576,360900,141268,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1449,1,1048576,379500,149857,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1433,1,1048576,375446,147923,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1329,1,1048576,348355,135704,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1385,1,1048576,362992,142203,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1417,1,1048576,371347,146059,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1393,1,1048576,365081,143154,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1465,1,1048576,383551,151818,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1553,1,1048576,409747,162786,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1409,1,1048576,369259,145114,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1345,1,1048576,352535,137574,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1473,1,1048576,385820,152840,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1545,1,1048576,407636,161924,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1497,1,1048576,392196,155783,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1529,1,1048576,401623,159865,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1425,1,1048576,373418,146980,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1481,1,1048576,388145,153822,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1489,1,1048576,390170,154797,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1513,1,1048576,396787,157809,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1561,1,1048576,411856,163657,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1649,1,1048576,435033,173725,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1505,1,1048576,394465,156805,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1441,1,1048576,377471,148898,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1593,1,1048576,420285,167257,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1641,1,1048576,432928,172783,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1625,1,1048576,428715,170916,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1569,1,1048576,413962,164559,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1521,1,1048576,399056,158831,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1585,1,1048576,418178,166346,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1577,1,1048576,416072,165444,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1745,1,1048576,460202,185323,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1609,1,1048576,424502,169103,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1601,1,1048576,422390,168199,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1689,1,1048576,445478,178449,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1657,1,1048576,437139,174676,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1537,1,1048576,404926,160933,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1665,1,1048576,439243,175661,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1737,1,1048576,458177,184348,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1681,1,1048576,443441,177507,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1617,1,1048576,426608,170005,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1721,1,1048576,453583,182344,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1841,1,1048576,487921,197205,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1673,1,1048576,441351,176596,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1705,1,1048576,449532,180383,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1697,1,1048576,447503,179424,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1817,1,1048576,481770,194320,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1785,1,1048576,471655,190391,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1633,1,1048576,430820,171858,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1833,1,1048576,485872,196238,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1777,1,1048576,469088,189357,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1937,1,1048576,513006,209236,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1761,1,1048576,464497,187331,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1713,1,1048576,451557,181358,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1753,1,1048576,462228,186309,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1801,1,1048576,477668,192459,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1881,1,1048576,498169,202116,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1913,1,1048576,506361,206166,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1729,1,1048576,455852,183366,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1929,1,1048576,511014,208238,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2033,1,1048576,544643,221888,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1769,1,1048576,466819,188335,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1873,1,1048576,496119,201138,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1857,1,1048576,492019,199197,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1809,1,1048576,479718,193385,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1849,1,1048576,489971,198183,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1793,1,1048576,474958,191459,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1977,1,1048576,524325,214416,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1897,1,1048576,502265,204126,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1825,1,1048576,483819,195287,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2009,1,1048576,535104,218648,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2129,1,1048576,573771,233185,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2025,1,1048576,541344,220803,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1865,1,1048576,494070,200171,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1969,1,1048576,521778,213361,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1953,1,1048576,517239,211290,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1905,1,1048576,504313,205140,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1945,1,1048576,514998,210246,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1889,1,1048576,500217,203130,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2073,1,1048576,558886,226893,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1993,1,1048576,530316,216549,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1921,1,1048576,508663,207226,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2105,1,1048576,567392,230461,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2121,1,1048576,571646,232291,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2225,1,1048576,598881,244464,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1961,1,1048576,519537,212317,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2065,1,1048576,556757,226030,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2049,1,1048576,551717,224115,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2001,1,1048576,532557,217593,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,1985,1,1048576,527624,215501,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2041,1,1048576,548151,222983,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2169,1,1048576,584393,237816,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2089,1,1048576,563141,228664,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2017,1,1048576,538403,219733,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2201,1,1048576,592802,241555,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2321,1,1048576,627042,256491,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2145,1,1048576,578019,235022,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2217,1,1048576,596856,243489,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2161,1,1048576,582269,236873,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2097,1,1048576,565266,229558,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2057,1,1048576,554630,225177,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2137,1,1048576,575897,234088,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2081,1,1048576,561011,227787,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2185,1,1048576,588641,239716,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2265,1,1048576,609552,249415,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2113,1,1048576,569514,231395,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2417,1,1048576,651637,268246,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2297,1,1048576,618979,253497,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2241,1,1048576,603176,246472,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2313,1,1048576,624992,255565,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2257,1,1048576,607526,248429,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2193,1,1048576,590747,240618,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2153,1,1048576,580147,235939,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2233,1,1048576,600907,245450,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2177,1,1048576,586514,238791,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2281,1,1048576,614143,251441,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2361,1,1048576,637295,261289,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2209,1,1048576,594827,242530,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2513,1,1048576,679881,280699,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2409,1,1048576,649589,267232,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2353,1,1048576,635245,260311,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2393,1,1048576,645493,265222,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2337,1,1048576,631143,258393,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2289,1,1048576,616412,252463,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2249,1,1048576,605501,247454,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2329,1,1048576,629094,257426,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2273,1,1048576,611821,250437,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2305,1,1048576,622282,254565,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2377,1,1048576,641394,263277,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2457,1,1048576,662322,273352,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2609,1,1048576,712327,292989,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2449,1,1048576,660330,272342,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2505,1,1048576,677640,279655,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2489,1,1048576,671649,277522,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2345,1,1048576,633196,259344,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2385,1,1048576,643443,264244,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2369,1,1048576,639343,262303,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2425,1,1048576,653685,269272,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2433,1,1048576,655987,270332,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2401,1,1048576,647541,266236,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2473,1,1048576,666861,275423,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2553,1,1048576,695475,286089,0
bench_rbyd,bench_rbyd_id_commit,0,1,1,2705,1,1048576,737675,304926,0
