suite,case,ORDER,DISK_SIZE,AMORTIZED,N,SEED,LOOKAHEAD_SIZE,PROG_SIZE,READ_SIZE,BLOCK_SIZE,bench_readed,bench_proged,bench_erased
bench_btree,bench_btree_lookup,0,1073741824,0,97,1,32768,1,1,4096,6486,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,110,1,32768,1,1,4096,9861,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,101,1,32768,1,1,4096,6212,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,93,1,32768,1,1,4096,5870,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,102,1,32768,1,1,4096,7441,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,100,1,32768,1,1,4096,7181,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,94,1,32768,1,1,4096,6007,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,107,1,32768,1,1,4096,8784,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,108,1,32768,1,1,4096,8072,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,103,1,32768,1,1,4096,7110,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,104,1,32768,1,1,4096,7740,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,111,1,32768,1,1,4096,10278,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,109,1,32768,1,1,4096,8161,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,122,1,32768,1,1,4096,9662,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,114,1,32768,1,1,4096,8385,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,113,1,32768,1,1,4096,8393,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,105,1,32768,1,1,4096,7960,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,106,1,32768,1,1,4096,7920,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,112,1,32768,1,1,4096,8319,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,119,1,32768,1,1,4096,9139,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,120,1,32768,1,1,4096,9302,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,115,1,32768,1,1,4096,8511,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,134,1,32768,1,1,4096,11614,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,125,1,32768,1,1,4096,11319,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,121,1,32768,1,1,4096,9569,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,118,1,32768,1,1,4096,9016,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,116,1,32768,1,1,4096,12512,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,124,1,32768,1,1,4096,10000,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,117,1,32768,1,1,4096,8741,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,132,1,32768,1,1,4096,11207,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,127,1,32768,1,1,4096,12161,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,146,1,32768,1,1,4096,9302,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,130,1,32768,1,1,4096,10772,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,123,1,32768,1,1,4096,9779,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,131,1,32768,1,1,4096,14187,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,133,1,32768,1,1,4096,15323,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,137,1,32768,1,1,4096,12176,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,126,1,32768,1,1,4096,10142,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,129,1,32768,1,1,4096,13275,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,144,1,32768,1,1,4096,6639,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,136,1,32768,1,1,4096,11981,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,128,1,32768,1,1,4096,10640,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,139,1,32768,1,1,4096,12448,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,158,1,32768,1,1,4096,8919,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,142,1,32768,1,1,4096,6374,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,135,1,32768,1,1,4096,11701,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,143,1,32768,1,1,4096,6438,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,145,1,32768,1,1,4096,6793,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,149,1,32768,1,1,4096,7257,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,138,1,32768,1,1,4096,12351,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,141,1,32768,1,1,4096,6265,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,156,1,32768,1,1,4096,8686,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,140,1,32768,1,1,4096,6058,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,148,1,32768,1,1,4096,10359,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,151,1,32768,1,1,4096,7752,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,170,1,32768,1,1,4096,11260,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,154,1,32768,1,1,4096,8295,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,147,1,32768,1,1,4096,7070,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,155,1,32768,1,1,4096,8516,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,157,1,32768,1,1,4096,8785,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,161,1,32768,1,1,4096,9503,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,150,1,32768,1,1,4096,7408,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,153,1,32768,1,1,4096,8202,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,168,1,32768,1,1,4096,10842,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,152,1,32768,1,1,4096,8012,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,160,1,32768,1,1,4096,9178,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,163,1,32768,1,1,4096,9712,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,182,1,32768,1,1,4096,6795,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,166,1,32768,1,1,4096,10188,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,159,1,32768,1,1,4096,9124,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,167,1,32768,1,1,4096,14364,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,169,1,32768,1,1,4096,10940,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,173,1,32768,1,1,4096,11657,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,162,1,32768,1,1,4096,11710,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,165,1,32768,1,1,4096,9897,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,180,1,32768,1,1,4096,6471,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,164,1,32768,1,1,4096,9883,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,172,1,32768,1,1,4096,11530,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,175,1,32768,1,1,4096,12902,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,194,1,32768,1,1,4096,9121,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,178,1,32768,1,1,4096,14233,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,171,1,32768,1,1,4096,11402,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,179,1,32768,1,1,4096,12640,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,181,1,32768,1,1,4096,6608,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,185,1,32768,1,1,4096,7710,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,174,1,32768,1,1,4096,11764,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,177,1,32768,1,1,4096,12396,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,192,1,32768,1,1,4096,8864,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,176,1,32768,1,1,4096,12129,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,184,1,32768,1,1,4096,7292,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,187,1,32768,1,1,4096,7960,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,206,1,32768,1,1,4096,11340,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,190,1,32768,1,1,4096,8722,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,183,1,32768,1,1,4096,6964,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,191,1,32768,1,1,4096,8732,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,193,1,32768,1,1,4096,10163,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,197,1,32768,1,1,4096,9695,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,186,1,32768,1,1,4096,7875,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,189,1,32768,1,1,4096,8318,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,204,1,32768,1,1,4096,11052,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,188,1,32768,1,1,4096,8194,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,196,1,32768,1,1,4096,9502,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,199,1,32768,1,1,4096,9952,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,218,1,32768,1,1,4096,7687,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,202,1,32768,1,1,4096,10691,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,195,1,32768,1,1,4096,9244,0,0
